epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,135.677,1.58987,1.68974,1.58322,0.70583,0.55102,0.5741,0.29212,1.69587,2.87167,1.90939,0.0017822,0.0017822,0.0017822
24,141.663,1.58507,1.83069,1.52426,0.73674,0.59184,0.65908,0.34114,1.76982,3.09419,1.94703,0.0017723,0.0017723,0.0017723
25,147.815,1.49921,1.53889,1.4315,0.66907,0.61902,0.63856,0.28281,1.67245,3.09743,1.78711,0.0017624,0.0017624,0.0017624
26,154.127,1.59634,1.81522,1.6098,0.34858,0.64436,0.36685,0.1856,1.4585,2.86606,1.58629,0.0017525,0.0017525,0.0017525
27,160.413,1.50624,1.61634,1.43454,0.34858,0.64436,0.36685,0.1856,1.4585,2.86606,1.58629,0.0017426,0.0017426,0.0017426
28,167.163,1.47185,1.57877,1.50011,0.51675,0.63286,0.60414,0.32836,1.70351,2.52867,1.74068,0.0017327,0.0017327,0.0017327
29,173.694,1.40497,1.47686,1.41043,0.72936,0.61224,0.64233,0.30149,1.6981,2.30964,1.75853,0.0017228,0.0017228,0.0017228
30,179.811,1.35187,1.55851,1.3583,0.85595,0.60647,0.75208,0.41472,1.5342,2.04396,1.60279,0.0017129,0.0017129,0.0017129
31,185.928,1.42834,1.59698,1.49147,0.85595,0.60647,0.75208,0.41472,1.5342,2.04396,1.60279,0.001703,0.001703,0.001703
32,192.085,1.43522,1.52061,1.43865,0.72575,0.79592,0.76421,0.4097,1.46458,2.0559,1.58854,0.0016931,0.0016931,0.0016931
33,198.301,1.36836,1.47199,1.38568,0.7721,0.76063,0.78799,0.43324,1.47348,1.88193,1.58711,0.0016832,0.0016832,0.0016832
34,204.384,1.38689,1.48469,1.39649,0.73739,0.68776,0.71818,0.42503,1.4227,1.81651,1.55332,0.0016733,0.0016733,0.0016733
35,210.458,1.33507,1.41035,1.34705,0.73739,0.68776,0.71818,0.42503,1.4227,1.81651,1.55332,0.0016634,0.0016634,0.0016634
36,216.521,1.36985,1.48915,1.41147,0.86529,0.78662,0.84395,0.53485,1.30132,1.77962,1.4294,0.0016535,0.0016535,0.0016535
37,222.552,1.39231,1.49223,1.39022,0.47308,0.44898,0.48249,0.29431,1.33616,2.47747,1.45846,0.0016436,0.0016436,0.0016436
38,228.565,1.36983,1.50003,1.35836,0.81918,0.59184,0.717,0.43271,1.28831,2.66339,1.41997,0.0016337,0.0016337,0.0016337
39,234.538,1.30465,1.29217,1.3207,0.81918,0.59184,0.717,0.43271,1.28831,2.66339,1.41997,0.0016238,0.0016238,0.0016238
40,240.634,1.27408,1.28882,1.2794,0.79967,0.81468,0.8265,0.51848,1.33528,2.27899,1.45262,0.0016139,0.0016139,0.0016139
41,246.657,1.4279,1.31362,1.4075,0.8661,0.71429,0.82788,0.53716,1.32723,1.77773,1.43153,0.001604,0.001604,0.001604
42,252.651,1.36658,1.39609,1.38607,0.73145,0.7551,0.80214,0.49307,1.34583,1.61646,1.43265,0.0015941,0.0015941,0.0015941
43,258.618,1.27879,1.34824,1.30829,0.73145,0.7551,0.80214,0.49307,1.34583,1.61646,1.43265,0.0015842,0.0015842,0.0015842
44,264.665,1.22597,1.29102,1.28253,0.78294,0.81633,0.78826,0.43858,1.46266,1.66491,1.52855,0.0015743,0.0015743,0.0015743
45,270.69,1.39973,1.57082,1.4236,0.83522,0.77551,0.84337,0.52054,1.39109,1.48511,1.44507,0.0015644,0.0015644,0.0015644
46,276.684,1.28666,1.25918,1.31656,0.88839,0.81233,0.89363,0.58785,1.26294,1.31631,1.34328,0.0015545,0.0015545,0.0015545
47,282.694,1.40469,1.32263,1.38662,0.88839,0.81233,0.89363,0.58785,1.26294,1.31631,1.34328,0.0015446,0.0015446,0.0015446
48,288.709,1.24949,1.17224,1.30862,0.91784,0.9121,0.9525,0.6686,1.13775,1.16787,1.26644,0.0015347,0.0015347,0.0015347
49,294.705,1.28543,1.25795,1.31006,0.84438,0.88594,0.9264,0.62931,1.16495,1.19826,1.31292,0.0015248,0.0015248,0.0015248
50,300.778,1.1781,1.12069,1.23525,0.87361,0.8465,0.92262,0.55958,1.38486,1.25315,1.48864,0.0015149,0.0015149,0.0015149
51,307.067,1.44953,1.33122,1.4258,0.87361,0.8465,0.92262,0.55958,1.38486,1.25315,1.48864,0.001505,0.001505,0.001505
52,313.08,1.36783,1.36405,1.39675,0.90234,0.94292,0.95529,0.58323,1.38299,1.1966,1.48265,0.0014951,0.0014951,0.0014951
53,319.04,1.28103,1.21974,1.34476,0.88027,0.90026,0.9592,0.66253,1.14497,1.14424,1.27713,0.0014852,0.0014852,0.0014852
54,325.301,1.22323,1.15147,1.28321,0.93076,0.85714,0.94426,0.67043,1.09772,1.1621,1.27679,0.0014753,0.0014753,0.0014753
55,331.448,1.27479,1.15523,1.31123,0.93076,0.85714,0.94426,0.67043,1.09772,1.1621,1.27679,0.0014654,0.0014654,0.0014654
56,337.476,1.16297,1.12557,1.29638,0.93609,0.89675,0.92621,0.65815,1.11204,1.1928,1.32123,0.0014555,0.0014555,0.0014555
57,343.479,1.27266,1.12824,1.3289,0.97717,0.87356,0.91971,0.67087,1.00931,1.13993,1.20334,0.0014456,0.0014456,0.0014456
58,349.698,1.23297,1.11044,1.30382,0.96066,0.85714,0.89981,0.64364,1.08134,1.19102,1.23149,0.0014357,0.0014357,0.0014357
59,355.788,1.15976,0.99207,1.19753,0.96066,0.85714,0.89981,0.64364,1.08134,1.19102,1.23149,0.0014258,0.0014258,0.0014258
60,361.813,1.14765,1.14626,1.25146,0.91032,0.87755,0.90589,0.66588,1.04913,1.17608,1.21327,0.0014159,0.0014159,0.0014159
61,367.85,1.24254,1.17754,1.33869,0.96072,0.83673,0.93872,0.66606,1.11991,1.05748,1.26536,0.001406,0.001406,0.001406
62,373.888,1.12316,1.00162,1.22355,0.96935,0.81633,0.93863,0.62969,1.15867,1.0132,1.30717,0.0013961,0.0013961,0.0013961
63,379.972,1.14184,1.00994,1.23843,0.96935,0.81633,0.93863,0.62969,1.15867,1.0132,1.30717,0.0013862,0.0013862,0.0013862
64,385.939,1.16836,0.99012,1.22986,0.96635,0.79592,0.94571,0.70011,1.03766,0.9366,1.21527,0.0013763,0.0013763,0.0013763
65,391.946,1.07522,0.97256,1.21564,0.93379,0.86359,0.96237,0.70868,1.01553,0.90299,1.19356,0.0013664,0.0013664,0.0013664
66,397.961,1.1951,1.10592,1.28279,0.97138,0.87755,0.96962,0.68668,1.06523,0.87852,1.24502,0.0013565,0.0013565,0.0013565
67,404.073,1.10755,0.95376,1.17373,0.97138,0.87755,0.96962,0.68668,1.06523,0.87852,1.24502,0.0013466,0.0013466,0.0013466
68,410.156,1.15306,1.00687,1.23968,0.97356,0.87755,0.97221,0.7288,0.9866,0.85997,1.15855,0.0013367,0.0013367,0.0013367
69,416.14,1.10355,0.91753,1.16553,0.99617,0.87755,0.97436,0.77201,0.88545,0.83336,1.12261,0.0013268,0.0013268,0.0013268
70,422.17,1.17578,0.94778,1.19459,1,0.87512,0.97814,0.744,0.95625,0.84686,1.16445,0.0013169,0.0013169,0.0013169
71,428.129,0.99228,0.82978,1.10007,1,0.87512,0.97814,0.744,0.95625,0.84686,1.16445,0.001307,0.001307,0.001307
72,434.249,1.0683,0.92524,1.23648,0.93852,0.93472,0.97537,0.73651,0.97293,0.81914,1.15994,0.0012971,0.0012971,0.0012971
73,440.218,1.11601,1.02041,1.23193,0.99589,0.87755,0.96228,0.74315,0.9255,0.8221,1.13521,0.0012872,0.0012872,0.0012872
74,446.236,1.05898,0.90968,1.14529,0.99613,0.85714,0.97867,0.75496,0.88437,0.81796,1.10748,0.0012773,0.0012773,0.0012773
75,452.177,1.04295,0.86455,1.17329,0.99613,0.85714,0.97867,0.75496,0.88437,0.81796,1.10748,0.0012674,0.0012674,0.0012674
76,458.139,1.06706,0.96807,1.20026,0.93443,0.93878,0.98534,0.76982,0.92659,0.81684,1.10871,0.0012575,0.0012575,0.0012575
77,464.079,0.98171,0.89428,1.09309,0.93822,0.92993,0.98255,0.7757,0.8792,0.81339,1.08736,0.0012476,0.0012476,0.0012476
78,470.197,1.1286,0.91417,1.23971,0.98161,0.87755,0.98078,0.78099,0.87193,0.79913,1.0756,0.0012377,0.0012377,0.0012377
79,476.087,1.07247,0.93903,1.17477,0.98161,0.87755,0.98078,0.78099,0.87193,0.79913,1.0756,0.0012278,0.0012278,0.0012278
80,482.236,1.10307,0.87292,1.19892,0.88861,0.93878,0.9738,0.75391,0.93682,0.80844,1.11723,0.0012179,0.0012179,0.0012179
81,488.191,1.11614,0.94673,1.20712,0.9153,0.93878,0.98115,0.74767,0.89564,0.76973,1.08492,0.001208,0.001208,0.001208
82,494.193,1.14052,1.01308,1.30973,0.95375,0.93878,0.98694,0.77648,0.8316,0.70638,1.05073,0.0011981,0.0011981,0.0011981
83,500.035,1.00521,0.92649,1.17185,0.95375,0.93878,0.98694,0.77648,0.8316,0.70638,1.05073,0.0011882,0.0011882,0.0011882
84,506.109,1.04015,0.86223,1.18706,0.97923,0.96232,0.99274,0.77078,0.89213,0.7218,1.07652,0.0011783,0.0011783,0.0011783
85,512.08,0.97349,0.80058,1.09504,0.97391,0.97959,0.98761,0.79293,0.80859,0.73728,1.04311,0.0011684,0.0011684,0.0011684
86,518.092,1.00442,0.87508,1.15067,0.96594,0.95918,0.98639,0.8008,0.77385,0.72832,1.02264,0.0011585,0.0011585,0.0011585
87,524.014,1.03028,0.87468,1.1873,0.96594,0.95918,0.98639,0.8008,0.77385,0.72832,1.02264,0.0011486,0.0011486,0.0011486
88,530.073,0.96544,0.83604,1.09841,0.95642,0.97959,0.9886,0.78944,0.80187,0.69779,1.03639,0.0011387,0.0011387,0.0011387
89,535.981,1.01973,0.86016,1.11804,1,0.95624,0.9925,0.80526,0.74711,0.67495,1.02236,0.0011288,0.0011288,0.0011288
90,542.039,0.91467,0.787,1.11868,1,0.95497,0.99315,0.79002,0.75476,0.67247,1.02731,0.0011189,0.0011189,0.0011189
91,548.019,0.97065,0.78934,1.13555,1,0.95497,0.99315,0.79002,0.75476,0.67247,1.02731,0.001109,0.001109,0.001109
92,554.052,0.91896,0.7699,1.08691,0.97908,0.95514,0.99267,0.79135,0.76851,0.68008,1.03305,0.0010991,0.0010991,0.0010991
93,559.976,1.10334,0.96081,1.25224,0.97649,0.93878,0.98923,0.8036,0.74883,0.68411,1.01828,0.0010892,0.0010892,0.0010892
94,566.022,0.98687,0.79524,1.15317,0.97605,0.93878,0.98993,0.80855,0.7401,0.67978,1.0161,0.0010793,0.0010793,0.0010793
95,571.915,0.87805,0.7848,1.09443,0.97605,0.93878,0.98993,0.80855,0.7401,0.67978,1.0161,0.0010694,0.0010694,0.0010694
96,577.854,0.90909,0.72437,1.10958,0.95583,0.97959,0.9907,0.82089,0.71032,0.64872,0.9975,0.0010595,0.0010595,0.0010595
97,583.775,0.94711,0.80482,1.08578,0.99664,0.89796,0.98646,0.81479,0.70047,0.64514,1.00131,0.0010496,0.0010496,0.0010496
98,589.661,0.88136,0.75137,1.098,0.97116,0.87755,0.97759,0.80091,0.73708,0.6926,1.00176,0.0010397,0.0010397,0.0010397
99,595.582,0.86369,0.77455,1.07937,0.97116,0.87755,0.97759,0.80091,0.73708,0.6926,1.00176,0.0010298,0.0010298,0.0010298
100,601.456,0.89618,0.7664,1.07012,0.96516,0.87755,0.9722,0.81101,0.72893,0.69887,0.99013,0.0010199,0.0010199,0.0010199
101,607.344,0.90411,0.74523,1.10334,0.97765,0.89286,0.98119,0.83654,0.67406,0.65425,0.96409,0.00101,0.00101,0.00101
102,613.266,0.80207,0.66084,1.04577,0.9408,0.97959,0.98678,0.84195,0.65371,0.64632,0.95153,0.0010001,0.0010001,0.0010001
103,619.123,1.02063,0.85008,1.16052,0.9408,0.97959,0.98678,0.84195,0.65371,0.64632,0.95153,0.0009902,0.0009902,0.0009902
104,625.203,0.92951,0.77315,1.09549,0.97951,0.97572,0.99093,0.83792,0.64166,0.62682,0.94564,0.0009803,0.0009803,0.0009803
105,631.203,0.89955,0.70912,1.07365,0.97625,0.97959,0.99274,0.83757,0.65808,0.61425,0.95299,0.0009704,0.0009704,0.0009704
106,637.131,0.88189,0.76984,1.09796,0.97869,0.97959,0.99274,0.85268,0.63412,0.60126,0.94932,0.0009605,0.0009605,0.0009605
107,643.053,0.9881,0.75929,1.11236,0.97869,0.97959,0.99274,0.85268,0.63412,0.60126,0.94932,0.0009506,0.0009506,0.0009506
108,648.973,0.81232,0.7024,1.08209,0.97624,0.97959,0.99344,0.84617,0.6425,0.58873,0.94877,0.0009407,0.0009407,0.0009407
109,654.925,0.92862,0.72625,1.11299,0.97643,0.97959,0.99308,0.83658,0.67968,0.5869,0.96704,0.0009308,0.0009308,0.0009308
110,660.848,0.82433,0.69548,1.03895,0.97739,0.97959,0.99078,0.83418,0.67471,0.59486,0.96601,0.0009209,0.0009209,0.0009209
111,666.71,0.9009,0.72109,1.06309,0.97739,0.97959,0.99078,0.83418,0.67471,0.59486,0.96601,0.000911,0.000911,0.000911
112,672.632,1.00301,0.73199,1.14783,0.97691,0.97959,0.99192,0.84428,0.6353,0.59065,0.95073,0.0009011,0.0009011,0.0009011
113,678.579,0.83144,0.68947,1.08903,0.97623,0.97959,0.99233,0.83534,0.63938,0.59155,0.96752,0.0008912,0.0008912,0.0008912
114,684.47,0.79929,0.65217,1.02626,0.97734,0.97959,0.99308,0.84078,0.6363,0.5652,0.96299,0.0008813,0.0008813,0.0008813
115,690.403,0.83986,0.67827,1.04041,0.97734,0.97959,0.99308,0.84078,0.6363,0.5652,0.96299,0.0008714,0.0008714,0.0008714
116,696.343,0.84871,0.75293,1.08801,0.97826,0.97959,0.99349,0.85145,0.62425,0.55138,0.94773,0.0008615,0.0008615,0.0008615
117,702.221,0.87458,0.72935,1.0831,0.97914,0.97959,0.99385,0.84303,0.63482,0.557,0.95345,0.0008516,0.0008516,0.0008516
118,708.177,0.85359,0.69819,1.07865,0.97926,0.97959,0.99385,0.855,0.60159,0.55401,0.93094,0.0008417,0.0008417,0.0008417
119,714.046,0.75689,0.62858,1.07718,0.97926,0.97959,0.99385,0.855,0.60159,0.55401,0.93094,0.0008318,0.0008318,0.0008318
120,720.101,0.82699,0.63271,1.05094,0.98212,0.97959,0.99385,0.86389,0.64334,0.55786,0.95719,0.0008219,0.0008219,0.0008219
121,726.126,0.78436,0.7488,1.04912,0.9791,0.97959,0.99282,0.86897,0.62943,0.54687,0.95103,0.000812,0.000812,0.000812
122,732.068,0.76886,0.63388,0.99868,0.97893,0.97959,0.9925,0.86495,0.604,0.54924,0.93496,0.0008021,0.0008021,0.0008021
123,738.064,0.83639,0.70605,1.10155,0.97893,0.97959,0.9925,0.86495,0.604,0.54924,0.93496,0.0007922,0.0007922,0.0007922
124,743.992,0.78749,0.62471,1.03344,0.97904,0.97959,0.99315,0.85447,0.65193,0.56184,0.97465,0.0007823,0.0007823,0.0007823
125,749.939,0.79144,0.62641,1.03588,0.98251,0.97959,0.99349,0.85153,0.64083,0.56266,0.97633,0.0007724,0.0007724,0.0007724
126,755.944,0.75511,0.65633,1.02921,1,0.95844,0.99349,0.86183,0.5992,0.53915,0.94108,0.0007625,0.0007625,0.0007625
127,761.841,0.86281,0.7425,1.10518,1,0.95844,0.99349,0.86183,0.5992,0.53915,0.94108,0.0007526,0.0007526,0.0007526
128,767.755,0.83086,0.63325,1.04526,0.95946,0.97959,0.99267,0.87136,0.60517,0.52688,0.9345,0.0007427,0.0007427,0.0007427
129,773.756,0.85198,0.65798,1.06987,0.96033,0.97959,0.99303,0.86193,0.59415,0.52534,0.92534,0.0007328,0.0007328,0.0007328
130,779.692,0.84023,0.65196,1.0822,1,0.95705,0.99385,0.85924,0.58945,0.53326,0.92201,0.0007229,0.0007229,0.0007229
131,785.552,0.79501,0.63901,1.02644,1,0.95705,0.99385,0.85924,0.58945,0.53326,0.92201,0.000713,0.000713,0.000713
132,791.505,0.76085,0.64059,0.99212,0.98832,0.97959,0.99385,0.87325,0.57577,0.53756,0.92013,0.0007031,0.0007031,0.0007031
133,797.386,0.78589,0.6217,1.02586,0.9789,0.97959,0.99422,0.88322,0.54008,0.53747,0.90875,0.0006932,0.0006932,0.0006932
134,803.267,0.77778,0.63909,1.0182,0.97871,0.97959,0.99422,0.87899,0.53535,0.52738,0.90366,0.0006833,0.0006833,0.0006833
135,809.327,0.67397,0.57318,0.98391,0.97871,0.97959,0.99422,0.87899,0.53535,0.52738,0.90366,0.0006734,0.0006734,0.0006734
136,815.357,0.85657,0.66749,1.05091,0.97836,0.97959,0.99422,0.85873,0.59459,0.52297,0.92301,0.0006635,0.0006635,0.0006635
137,821.287,0.81502,0.61036,1.01778,0.97994,0.99707,0.9946,0.83665,0.62277,0.52426,0.93963,0.0006536,0.0006536,0.0006536
138,827.274,0.72214,0.59084,0.96395,0.97994,0.99715,0.9946,0.85875,0.59175,0.51261,0.91825,0.0006437,0.0006437,0.0006437
139,833.23,0.83633,0.67124,1.07516,0.97994,0.99715,0.9946,0.85875,0.59175,0.51261,0.91825,0.0006338,0.0006338,0.0006338
140,839.208,0.73055,0.60907,1.00433,0.97994,0.99725,0.9946,0.84969,0.57967,0.50226,0.91446,0.0006239,0.0006239,0.0006239
141,845.143,0.73802,0.56991,0.98059,0.97995,0.9975,0.9946,0.85111,0.5973,0.49935,0.92581,0.000614,0.000614,0.000614
142,851.147,0.74537,0.54923,1.00814,0.97995,0.99769,0.9946,0.85887,0.58508,0.4852,0.91954,0.0006041,0.0006041,0.0006041
143,857.065,0.70117,0.58034,0.96785,0.97995,0.99769,0.9946,0.85887,0.58508,0.4852,0.91954,0.0005942,0.0005942,0.0005942
144,862.992,0.77971,0.60512,1.03156,0.97996,0.99782,0.9946,0.87299,0.56177,0.48691,0.90736,0.0005843,0.0005843,0.0005843
145,868.974,0.70016,0.55095,0.98505,0.97996,0.99787,0.9946,0.89503,0.54144,0.48585,0.90125,0.0005744,0.0005744,0.0005744
146,874.926,0.84377,0.71174,1.06839,0.97809,0.97959,0.99422,0.87396,0.53572,0.48905,0.89595,0.0005645,0.0005645,0.0005645
147,880.847,0.75241,0.61293,1.03391,0.97809,0.97959,0.99422,0.87396,0.53572,0.48905,0.89595,0.0005546,0.0005546,0.0005546
148,886.793,0.72825,0.60685,1.03103,0.97802,0.97959,0.99385,0.86901,0.5267,0.49856,0.89059,0.0005447,0.0005447,0.0005447
149,892.745,0.70677,0.64357,1.00604,0.97797,0.97959,0.99274,0.86776,0.51797,0.49796,0.88496,0.0005348,0.0005348,0.0005348
150,898.718,0.71651,0.63951,1.03779,0.97822,0.97959,0.99241,0.86654,0.51442,0.48252,0.8837,0.0005249,0.0005249,0.0005249
151,904.593,0.71479,0.61241,1.02586,0.97822,0.97959,0.99241,0.86654,0.51442,0.48252,0.8837,0.000515,0.000515,0.000515
152,910.628,0.63735,0.56721,0.96958,0.97827,0.97959,0.99308,0.87623,0.51087,0.47193,0.88301,0.0005051,0.0005051,0.0005051
153,916.545,0.65652,0.58401,0.97153,0.978,0.97959,0.99344,0.86789,0.51628,0.4616,0.88723,0.0004952,0.0004952,0.0004952
154,922.476,0.69222,0.59265,1.02519,0.97826,0.97959,0.99422,0.86689,0.53472,0.46877,0.89071,0.0004853,0.0004853,0.0004853
155,928.388,0.66789,0.54543,0.96005,0.97826,0.97959,0.99422,0.86689,0.53472,0.46877,0.89071,0.0004754,0.0004754,0.0004754
156,934.283,0.56837,0.49535,0.92453,0.97997,0.99829,0.9946,0.85992,0.56921,0.46756,0.89362,0.0004655,0.0004655,0.0004655
157,940.191,0.67927,0.62736,0.99543,0.97996,0.9978,0.9946,0.87269,0.54213,0.4581,0.88333,0.0004556,0.0004556,0.0004556
158,946.141,0.67131,0.53701,0.99075,0.97994,0.99694,0.9946,0.89976,0.47235,0.43233,0.86629,0.0004457,0.0004457,0.0004457
159,952.093,0.68713,0.60628,0.96365,0.97994,0.99694,0.9946,0.89976,0.47235,0.43233,0.86629,0.0004358,0.0004358,0.0004358
160,958.032,0.61601,0.54793,0.95658,0.97992,0.99582,0.9946,0.90557,0.44256,0.43167,0.86178,0.0004259,0.0004259,0.0004259
161,964.001,0.60616,0.53706,0.91078,0.97992,0.99601,0.9946,0.90851,0.45596,0.429,0.8711,0.000416,0.000416,0.000416
162,969.936,0.67143,0.58651,0.95913,1,0.97241,0.99422,0.89068,0.48044,0.43215,0.88345,0.0004061,0.0004061,0.0004061
163,975.787,0.58442,0.50736,0.94082,1,0.97241,0.99422,0.89068,0.48044,0.43215,0.88345,0.0003962,0.0003962,0.0003962
164,981.691,0.63406,0.53078,0.97464,1,0.96342,0.99385,0.89188,0.47876,0.43334,0.8758,0.0003863,0.0003863,0.0003863
165,987.606,0.64233,0.55264,0.99476,1,0.95714,0.99385,0.90304,0.44637,0.42851,0.85754,0.0003764,0.0003764,0.0003764
166,993.492,0.60996,0.52563,0.94356,0.95873,0.97959,0.99303,0.90741,0.44886,0.43425,0.85937,0.0003665,0.0003665,0.0003665
167,999.379,0.64582,0.56312,0.95851,0.95873,0.97959,0.99303,0.90741,0.44886,0.43425,0.85937,0.0003566,0.0003566,0.0003566
168,1005.29,0.61502,0.50475,0.95624,0.95909,0.97959,0.99267,0.90632,0.45496,0.4266,0.86272,0.0003467,0.0003467,0.0003467
169,1011.17,0.66966,0.5759,1.01285,0.95929,0.97959,0.99227,0.90906,0.44702,0.43257,0.86121,0.0003368,0.0003368,0.0003368
170,1017.21,0.62389,0.53254,0.9371,0.95937,0.97959,0.99227,0.91032,0.44792,0.44295,0.86353,0.0003269,0.0003269,0.0003269
171,1023.12,0.65426,0.55135,0.96395,0.95937,0.97959,0.99227,0.91032,0.44792,0.44295,0.86353,0.000317,0.000317,0.000317
172,1029.07,0.60131,0.50139,0.94068,0.95922,0.97959,0.99303,0.89617,0.4585,0.43905,0.86954,0.0003071,0.0003071,0.0003071
173,1034.97,0.62147,0.52082,0.96282,0.9589,0.97959,0.99303,0.89957,0.45817,0.44136,0.86664,0.0002972,0.0002972,0.0002972
174,1040.92,0.63129,0.54187,0.96023,0.97915,0.97959,0.99422,0.91543,0.43258,0.43851,0.85691,0.0002873,0.0002873,0.0002873
175,1046.82,0.62694,0.53867,0.98642,0.97915,0.97959,0.99422,0.91543,0.43258,0.43851,0.85691,0.0002774,0.0002774,0.0002774
176,1052.72,0.60645,0.50344,0.93223,0.97901,0.97959,0.99422,0.92627,0.40358,0.42238,0.84622,0.0002675,0.0002675,0.0002675
177,1058.67,0.59209,0.50047,0.92859,0.97886,0.97959,0.99422,0.92862,0.38533,0.40898,0.83879,0.0002576,0.0002576,0.0002576
178,1064.56,0.63568,0.55951,0.95566,0.97878,0.97959,0.99422,0.93002,0.38518,0.40279,0.83655,0.0002477,0.0002477,0.0002477
179,1070.45,0.56263,0.47477,0.93955,0.97878,0.97959,0.99422,0.93002,0.38518,0.40279,0.83655,0.0002378,0.0002378,0.0002378
180,1076.4,0.58832,0.50405,0.95296,0.97879,0.97959,0.99422,0.93191,0.39422,0.4059,0.8389,0.0002279,0.0002279,0.0002279
181,1082.37,0.61583,0.52463,0.93813,0.97875,0.97959,0.99422,0.92714,0.38978,0.40718,0.84007,0.000218,0.000218,0.000218
182,1088.5,0.57639,0.47808,0.91389,0.97871,0.97959,0.99422,0.93442,0.37864,0.40041,0.83911,0.0002081,0.0002081,0.0002081
183,1094.35,0.56017,0.49447,0.94004,0.97871,0.97959,0.99422,0.93442,0.37864,0.40041,0.83911,0.0001982,0.0001982,0.0001982
184,1100.27,0.56714,0.50597,0.96314,0.97877,0.97959,0.99422,0.9315,0.37897,0.40146,0.83983,0.0001883,0.0001883,0.0001883
185,1106.17,0.54421,0.48776,0.94782,0.97875,0.97959,0.99422,0.93852,0.38497,0.40348,0.8419,0.0001784,0.0001784,0.0001784
186,1112.23,0.58982,0.5182,0.97208,0.97879,0.97959,0.99422,0.93272,0.38853,0.40278,0.84256,0.0001685,0.0001685,0.0001685
187,1118.17,0.60498,0.49932,0.97045,0.97879,0.97959,0.99422,0.93272,0.38853,0.40278,0.84256,0.0001586,0.0001586,0.0001586
