epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.53178,2.3517,4.1968,2.31122,0.00333,0.95918,0.08063,0.02152,2.40147,4.08678,2.14659,0.0001,0.0001,0.0001
2,12.2945,1.91381,3.4427,1.89325,0.00326,0.93878,0.18235,0.05823,2.05633,3.86148,1.97772,0.000218911,0.000218911,0.000218911
3,18.1218,1.89477,3.02231,1.78897,0.0034,0.97959,0.2631,0.08433,1.82034,3.59,1.82324,0.000336634,0.000336634,0.000336634
4,23.931,1.85182,2.74143,1.69084,0.0034,0.97959,0.27598,0.10462,1.88021,3.44361,1.87839,0.000453169,0.000453169,0.000453169
5,29.713,1.82925,2.60582,1.69974,0.00348,1,0.19857,0.07645,1.72996,3.49442,1.84092,0.000568516,0.000568516,0.000568516
6,35.5897,1.65958,2.32395,1.53285,0.00348,1,0.18734,0.08457,1.51198,3.37941,1.66842,0.000682675,0.000682675,0.000682675
7,41.3497,1.63919,2.06877,1.564,0.00888,0.7551,0.26162,0.10601,1.53638,3.27743,1.61166,0.000795646,0.000795646,0.000795646
8,47.1307,1.66474,2.233,1.63983,0.00887,0.85714,0.34852,0.162,1.50802,3.2337,1.55868,0.000907429,0.000907429,0.000907429
9,52.9499,1.646,2.09529,1.62274,0.59836,0.36735,0.40587,0.17808,1.43874,3.15344,1.56036,0.00101802,0.00101802,0.00101802
10,58.824,1.71162,2.04793,1.66084,0.7912,0.38671,0.58309,0.30411,1.48706,2.87877,1.61681,0.00112743,0.00112743,0.00112743
11,64.6939,1.76481,2.12622,1.73801,0.00793,0.79592,0.28925,0.08437,1.61813,3.35638,1.78814,0.00123565,0.00123565,0.00123565
12,70.6135,1.60309,2.10946,1.61624,0.43535,0.33052,0.44792,0.23288,1.54181,2.77749,1.58033,0.00134268,0.00134268,0.00134268
13,76.5571,1.70259,2.23798,1.66907,0.55818,0.77551,0.54626,0.28245,1.6337,2.33368,1.799,0.00144852,0.00144852,0.00144852
14,82.4512,1.60864,2.05238,1.64031,0.54111,0.73469,0.59362,0.27618,1.54587,2.31823,1.65773,0.00155318,0.00155318,0.00155318
15,88.3078,1.6788,2.12252,1.63497,0.54111,0.73469,0.59362,0.27618,1.54587,2.31823,1.65773,0.00165665,0.00165665,0.00165665
16,94.1964,1.5606,1.82865,1.503,0.58045,0.71429,0.62158,0.23269,1.71747,2.62559,1.94914,0.00175893,0.00175893,0.00175893
17,100.085,1.70041,2.12663,1.59194,0.71088,0.61224,0.60713,0.22755,1.95311,2.70913,2.06671,0.0018416,0.0018416,0.0018416
18,105.971,1.73204,1.96671,1.62915,0.42175,0.61224,0.39376,0.1479,1.85828,3.09572,1.94087,0.0018317,0.0018317,0.0018317
19,111.831,1.56618,1.91385,1.50681,0.42175,0.61224,0.39376,0.1479,1.85828,3.09572,1.94087,0.0018218,0.0018218,0.0018218
20,117.735,1.75928,1.91888,1.61828,0.609,0.63579,0.65626,0.31428,1.48901,2.90168,1.57506,0.0018119,0.0018119,0.0018119
21,123.736,1.79685,1.85462,1.63417,0.74702,0.73469,0.74047,0.37822,1.57556,2.18821,1.62992,0.001802,0.001802,0.001802
22,129.799,1.68509,1.82465,1.51487,0.70583,0.55102,0.5741,0.29212,1.69587,2.87167,1.90939,0.0017921,0.0017921,0.0017921
